suggested_id,level,primary_pattern,all_forms_seen,meaning,sources,num_sources
n5_082,N5,い-adjectives,い-adjectives,i-adjectives,"JLPTsensei,MaruMori",2
n5_083,N5,かか,〜か～か | か〜か,or,"JLPTsensei,MaruMori",2
n5_084,N5,しかし,しかし,but; however,"JLPTsensei,MaruMori",2
n5_085,N5,じゃない,じゃない | じゃない・ではない,to not be (am not; is not; are not),"JLPTsensei,MaruMori",2
n5_086,N5,する,する,to do,"MaruMori,Neocities",2
n5_087,N5,だ,だ | だ / です | だ・です,"to be (am, is, are, were, used to)","JLPTsensei,MaruMori,Neocities",3
n5_088,N5,だろう,だろう | だろう 1 | だろう 2,I think; it seems; probably; right?,"JLPTsensei,MaruMori,Neocities",3
n5_089,N5,ちゃいけない,ちゃいけない・じゃい… | ちゃいけない・じゃいけない,must not do (spoken Japanese),"JLPTsensei,MaruMori",2
n5_090,N5,でも,でも,but; however,"JLPTsensei,MaruMori",2
n5_091,N5,な-adjectives,な-adjectives,na-adjectives,"JLPTsensei,MaruMori",2
n5_092,N5,ないでください,〜ないで | 〜ないでください | ないで | ないでください,please don't do,"JLPTsensei,MaruMori,Neocities",3
n5_093,N5,なくちゃ,なくちゃ | なくちゃ・なきゃ,must do; need to; gotta do,"JLPTsensei,MaruMori",2
n5_094,N5,なる,なる,to become,"JLPTsensei,MaruMori,Neocities",3
n5_095,N5,にいく,にいく,go to do,"JLPTsensei,Neocities",2
n5_096,N5,のが下手,のが下手,to be bad at doing something,"JLPTsensei,Neocities",2
n5_097,N5,の中で[A]が一番,の中で[A]が一番 | ～が一番,"out of this group, [A] is best","JLPTsensei,MaruMori",2
n5_098,N5,ほうがいい,ほうがいい | ほうがいい 1 | ほうがいい 2 | ～ほうがいい,had better; it'd be better to; should~,"JLPTsensei,MaruMori,Neocities",3
n5_099,N5,まだ,まだ,still; not yet,"JLPTsensei,MaruMori,Neocities",3
n5_100,N5,もう,もう,already; anymore; again; other,"JLPTsensei,MaruMori,Neocities",3
n5_101,N5,よりほうが,より〜ほうが | より～ほうが,[A] is more than [B],"JLPTsensei,MaruMori",2
n5_102,N5,一緒に,一緒に,together,"JLPTsensei,MaruMori",2
n4_108,N4,あまりない,あまり○○ない | あまり～ない,"not very, not much","JLPTsensei,MaruMori,Neocities",3
n4_109,N4,いらっしゃる,いらっしゃる,to be; to come; to go (polite version),"JLPTsensei,Neocities",2
n4_110,N4,おください,お○○ください | お～ください,please do (honorific),"JLPTsensei,Neocities",2
n4_111,N4,おになる,お○○になる | お～になる,to do (honorific),"JLPTsensei,Neocities",2
n4_112,N4,かい,かい,turns a sentence into a yes/no question,"JLPTsensei,Neocities",2
n4_113,N4,かしら,かしら | ～かしら,I wonder,"JLPTsensei,MaruMori,Neocities",3
n4_114,N4,かな,かな | ～かな,I wonder; should I?,"JLPTsensei,MaruMori,Neocities",3
n4_115,N4,がする,がする,to smell; hear; taste,"JLPTsensei,Neocities",2
n4_116,N4,がり,〜がり | がり,personality; tend to~; sensitivity towards~,"JLPTsensei,MaruMori",2
n4_117,N4,が必要,〜が必要 | が必要,need; necessary,"JLPTsensei,MaruMori",2
n4_118,N4,くする,〜くする | くする,to make something ~,"JLPTsensei,MaruMori",2
n4_119,N4,こと,こと,Verb nominalizer,"JLPTsensei,Neocities",2
n4_120,N4,さ,さ | ～さ,-ness ; nominalizer for adjective,"JLPTsensei,MaruMori,Neocities",3
n4_121,N4,さすが,さすが,as one would expect; as is to be expected,"JLPTsensei,MaruMori",2
n4_122,N4,じゃないか,じゃないか | じゃないか・ではないか,right? isn't it? let's~; confirmation,"JLPTsensei,MaruMori,Neocities",3
n4_123,N4,そうに,〜そうに ・〜そうな | そうに / そうな | そうに・そうな,seems like; looks like,"JLPTsensei,MaruMori,Neocities",3
n4_124,N4,それでも,それでも,but still; and yet; even so,"JLPTsensei,MaruMori,Neocities",3
n4_125,N4,そんなに,そんなに,so much; so; like that,"JLPTsensei,Neocities",2
n4_126,N4,たがる,たがる | ～たがる・～ほしがる,wants to do~ (third person),"JLPTsensei,MaruMori,Neocities",3
n4_127,N4,たらいいですか,〜たらいい(ですか) | たらいいですか,what should I do?; seeking instruction,"JLPTsensei,MaruMori",2
n4_128,N4,たらどう,〜たらどう | たらどう,why don't you,"JLPTsensei,MaruMori,Neocities",3
n4_129,N4,づらい,〜づらい | づらい,difficult to do,"JLPTsensei,MaruMori",2
n4_130,N4,ていく,〜ていく | ていく,to start; to continue; to go on,"JLPTsensei,MaruMori,Neocities",3
n4_131,N4,てくる,〜てくる | てくる,to do… and come back; to continue,"JLPTsensei,MaruMori,Neocities",3
n4_132,N4,てよかった,〜てよかった | てよかった,I’m glad that..,"JLPTsensei,MaruMori,Neocities",3
n4_133,N4,でございます,ございます | でございます,to be (honorific),"JLPTsensei,Neocities",2
n4_134,N4,でも,でも,... or something,"JLPTsensei,Neocities",2
n4_135,N4,とかとか,とか○○とか | とか～とか,among other things; such as; like,"JLPTsensei,MaruMori,Neocities",3
n4_136,N4,とき,〜とき | とき,when; at the time,"MaruMori,Neocities",2
n4_137,N4,な,〜な | な | ～な,don’t ~ (order somebody to not do ~),"JLPTsensei,MaruMori",2
n4_138,N4,なければいけない,〜なければいけない | なければいけない | なければいけない / なければならない,must do something; have to do something,"JLPTsensei,MaruMori,Neocities",3
n4_139,N4,なさい,〜なさい | なさい,do this (soft/firm command),"JLPTsensei,MaruMori,Neocities",3
n4_140,N4,なさる,なさる,to do (honorific),"JLPTsensei,Neocities",2
n4_141,N4,など,など,"such as, things like","JLPTsensei,Neocities",2
n4_142,N4,にみえる,にみえる | ～にみえる,to look; to seem; to appear,"JLPTsensei,MaruMori",2
n4_143,N4,に気がつく,〜に気がつく | に気がつく,to notice; to realize,"JLPTsensei,MaruMori",2
n4_144,N4,の中で,の中で,"in, among","JLPTsensei,Neocities",2
n4_145,N4,はずがない,はずがない | ～はずがない,cannot be (impossible),"JLPTsensei,MaruMori,Neocities",3
n4_146,N4,までに,までに,by; by the time; indicates time limit,"JLPTsensei,Neocities",2
n4_147,N4,みたいだ,〜みたい(だ) | みたい | みたいだ,"like, similar to, resembling","JLPTsensei,MaruMori,Neocities",3
n4_148,N4,みたいな,みたいな | ～みたいな,"like, similar to","JLPTsensei,MaruMori",2
n4_149,N4,みたいに,みたいに | みたいに/みたいな | ～みたいに,"like, similar to","JLPTsensei,MaruMori,Neocities",3
n4_150,N4,受身形,受身形,passive form; passive voice,"JLPTsensei,MaruMori",2
n4_151,N4,場合は,〜場合は | 場合は,in the event of; in the case that,"JLPTsensei,MaruMori,Neocities",3
n4_152,N4,急に,急に,suddenly,"JLPTsensei,Neocities",2
n3_071,N3,あまりにも,あまり | あまりに | あまりに(も)～ | あまりにも,too…; so much… that; excessively~,"JLPTsensei,MaruMori,Neocities",3
n3_072,N3,いくらても,いくら○○ても / いくら○○でも | いくら～ても,no matter how~,"JLPTsensei,Neocities",2
n3_073,N3,きり,きり | ～きり,only; just; since; after,"JLPTsensei,MaruMori,Neocities",3
n3_074,N3,こそ,こそ | こそ①,for sure; precisely; definitely,"JLPTsensei,MaruMori,Neocities",3
n3_075,N3,こと,こと | ～こと,(must) do,"JLPTsensei,MaruMori,Neocities",3
n3_076,N3,ことから,〜ことか | 〜ことから | ことか | ことから,from the fact that~,"JLPTsensei,MaruMori,Neocities",3
n3_077,N3,ことはが,ことは～が,although; but,"JLPTsensei,MaruMori",2
n3_078,N3,さらに,さらに,furthermore; again; more and more,"JLPTsensei,MaruMori",2
n3_079,N3,すでに,すでに,something has already been done,"JLPTsensei,MaruMori",2
n3_080,N3,すなわち,すなわち,in other words; namely,"JLPTsensei,MaruMori",2
n3_081,N3,ずつ,ずつ | ～ずつ,apiece; each; at a time,"JLPTsensei,MaruMori",2
n3_082,N3,そうもない,そうもない,very unlikely to~; showing no signs of~,"JLPTsensei,MaruMori,Neocities",3
n3_083,N3,たて,たて | ～たて,just done; freshly done; newly done,"JLPTsensei,MaruMori",2
n3_084,N3,たとえても,たとえ○○ても | たとえ～ても,even if… is the case,"JLPTsensei,MaruMori,Neocities",3
n3_085,N3,だけど,だけど,however; but,"JLPTsensei,Neocities",2
n3_086,N3,だらけ,〜だらけ | だらけ | だらけ 1 | だらけ 2,full of; covered with; a lot of~,"JLPTsensei,MaruMori,Neocities",3
n3_087,N3,っけ,っけ | ～っけ,casual suffix to confirm something,"JLPTsensei,MaruMori,Neocities",3
n3_088,N3,つい,つい,accidentally; unintentionally,"JLPTsensei,MaruMori",2
n3_089,N3,ついでに,ついでに | ～ついでに,"while, incidentally, at the same time","JLPTsensei,MaruMori,Neocities",3
n3_090,N3,ついに,ついに,finally ~; at last ~; in the end,"JLPTsensei,MaruMori",2
n3_091,N3,つまり,つまり,in other words; in summary; in short,"JLPTsensei,MaruMori,Neocities",3
n3_092,N3,てごらん,てごらん | ～てごらん,(please) try to; (please) look,"JLPTsensei,MaruMori,Neocities",3
n3_093,N3,てもかまわない,てもかまわない | てもかまわない / てもかまいません,it doesn't matter if ~,"JLPTsensei,Neocities",2
n3_094,N3,てもしょうがない,てもしょうがない,there's no point to~; it's no use to~,"JLPTsensei,MaruMori",2
n3_095,N3,ても始まらない（ても,ても始まらない | ても始まらない（ても…,even if you... it’s no use;,"JLPTsensei,MaruMori",2
n3_096,N3,とてもない,とても～ない | とても～（ない）,cannot possibly be; hardly~,"JLPTsensei,MaruMori",2
n3_097,N3,と共に,と共に,together with; at the same time as,"JLPTsensei,Neocities",2
n3_098,N3,と言うと,と言うと | ～と言うと,speaking of; when you say~,"JLPTsensei,MaruMori",2
n3_099,N3,と言えば,と言えば | ～と言えば,speaking of; when you talk of~,"JLPTsensei,MaruMori",2
n3_100,N3,どうしても,どうしても,no matter what; at any cost; after all,"JLPTsensei,MaruMori",2
n3_101,N3,どころか,どころか | ～どころか,far from; nevermind,"MaruMori,Neocities",2
n3_102,N3,どんなにても,どんなに○○ても | どんなに～ても,no matter how (much),"JLPTsensei,MaruMori,Neocities",3
n3_103,N3,なかなかない,なかなか | なかなか～ | なかなか～ない,quite~; pretty~; rather~; just not ~,"JLPTsensei,MaruMori",2
n3_104,N3,なぜならから,なぜなら | なぜなら / なぜかというと | なぜなら〜から,because; the reason is,"JLPTsensei,MaruMori,Neocities",3
n3_105,N3,なるべく,なるべく,as much as possible,"JLPTsensei,MaruMori,Neocities",3
n3_106,N3,なんか,なんか / なんて | なんか・なんて,examples; modesty; make light of~,"JLPTsensei,MaruMori,Neocities",3
n3_107,N3,にかわって,にかわって | にかわって / にかわり,instead of~; replacing~; on behalf of~,"JLPTsensei,Neocities",2
n3_108,N3,に違いない（にちが,に違いない | ～に違いない（にちが…,I’m sure/ certain; no doubt that,"JLPTsensei,MaruMori,Neocities",3
n3_109,N3,はで有名,は～で有名 | ～は～で有名,famous for~,"JLPTsensei,MaruMori",2
n3_110,N3,ばいい,ばいい,"should, can, it’d be good if","JLPTsensei,Neocities",2
n3_111,N3,ばかりでなく,ばかりで | ばかりでなく | ～ばかりで | ～ばかりでなく,not only.. but also; as well as,"JLPTsensei,MaruMori,Neocities",3
n3_112,N3,ばのに,ば～のに,would have; should have; if only~,"JLPTsensei,MaruMori",2
n3_113,N3,ばよかった,ばよかった,"should have, would have been better if~","JLPTsensei,Neocities",2
n3_114,N3,ふと,ふと | ふと 1 | ふと 2,suddenly; accidentally; unexpectedly,"JLPTsensei,MaruMori,Neocities",3
n3_115,N3,べき,べき | ～べき(だ),must do; should do,"MaruMori,Neocities",2
n3_116,N3,べきではない,べきではない,should not do~; must not do~,"JLPTsensei,Neocities",2
n3_117,N3,まさか,まさか,there's no way; that's impossible,"JLPTsensei,MaruMori",2
n3_118,N3,まるで,まるで,as if; as though; just like,"JLPTsensei,MaruMori,Neocities",3
n3_119,N3,むしろ,むしろ,rather; instead; better,"JLPTsensei,MaruMori",2
n3_120,N3,めったにない,めったに | めったに～ない,hardly; rarely; seldom,"JLPTsensei,MaruMori,Neocities",3
n3_121,N3,もしかしたら,もしかしたら | もしかしたら・もしか…,perhaps; maybe; perchance; by chance,"JLPTsensei,MaruMori,Neocities",3
n3_122,N3,ようとしない,としない / とはしない | ようとしない | ～ようとしない,not try to; not make an effort to~,"JLPTsensei,MaruMori,Neocities",3
n3_123,N3,ようとする,〜ようとする | とする 1 | とする 2 | ようとする,try to; attempt to; be about to~,"JLPTsensei,MaruMori,Neocities",3
n3_124,N3,ような気がする,ような気がする,have a feeling that; feels like; seems like,"JLPTsensei,MaruMori,Neocities",3
n3_125,N3,わざと,わざと,on purpose; intentionally~,"JLPTsensei,MaruMori",2
n3_126,N3,わざわざ,わざわざ,to go to the trouble of,"JLPTsensei,MaruMori",2
n3_127,N3,んだって,だって～ | んだって,I hear that; heard that~,"JLPTsensei,MaruMori",2
n3_128,N3,一体,一体,emphasis; what on earth?,"JLPTsensei,MaruMori",2
n3_129,N3,一度に,一度に,all at once,"JLPTsensei,MaruMori",2
n3_130,N3,一方だ,一方だ | ～一方だ,more and more; continue to,"JLPTsensei,MaruMori,Neocities",3
n3_131,N3,一方で,一方で | ～一方で,on one hand; on the other hand,"MaruMori,Neocities",2
n3_132,N3,上げる,上げる | ～上げる・上がる,to finish doing~,"JLPTsensei,MaruMori",2
n3_133,N3,切る,切る | ～切る（きる）,to do something completely to the end,"JLPTsensei,MaruMori",2
n3_134,N3,切れない,切れない,unable to do; too much to finish,"JLPTsensei,Neocities",2
n3_135,N3,別にない（べつに,別に～ない | 別に～ない（べつに～…,"not really, not particularly","JLPTsensei,MaruMori",2
n3_136,N3,割に,割に | 割に（わりに）,considering; relatively; unexpectedly,"JLPTsensei,MaruMori",2
n3_137,N3,合う,合う | ～合う,do something together,"JLPTsensei,MaruMori",2
n3_138,N3,向き,向き | 向き 1 | 向き 2 | ～向き（むき）,suitable for~,"JLPTsensei,MaruMori,Neocities",3
n3_139,N3,向け,向け | ～向け（むけ）,intended for; aimed at~,"JLPTsensei,MaruMori,Neocities",3
n3_140,N3,最中に（さいちゅう,〜最中に（さいちゅう… | 最中に,while; during; in the middle of,"JLPTsensei,MaruMori,Neocities",3
n3_141,N3,決してない（けっし,決して○○ない | 決して～ない | 決して～ない（けっし…,never; by no means,"JLPTsensei,MaruMori,Neocities",3
n3_142,N3,的,〜的（てき） | 的,change noun into na-adjective,"JLPTsensei,MaruMori",2
n3_143,N3,確かに,確かに,"surely, certainly","JLPTsensei,Neocities",2
n3_144,N3,結局,結局 | 結局（けっきょく）,after all; eventually; in the end,"JLPTsensei,MaruMori",2
n3_145,N3,結果,結果 | 結果（けっか）,as a result of; after,"JLPTsensei,MaruMori",2
n3_146,N3,込む,込む | ～込む（こむ）,Move inside; do a long time,"JLPTsensei,MaruMori",2
n3_147,N3,途中で,途中で | 途中で/途中に（とちゅ…,on the way; in the middle of~,"JLPTsensei,MaruMori",2
n3_148,N3,通す,通す | ～通す（とおす）,to do until the end; to continually do,"JLPTsensei,MaruMori",2
n2_201,N2,あるいは,あるいは,or; either; maybe; perhaps; possibly,"JLPTsensei,Neocities",2
n2_202,N2,いきなり,いきなり,abruptly; suddenly; all of a sudden,"JLPTsensei,MaruMori,Neocities",3
n2_203,N2,いよいよ,いよいよ,at last; finally; beyond doubt,"JLPTsensei,MaruMori,Neocities",3
n2_204,N2,いわゆる,いわゆる | いわゆる～,what is called; as it is called; so-called,"JLPTsensei,MaruMori,Neocities",3
n2_205,N2,おまけに,おまけに | おまけに～,to make matters worse; what's more,"JLPTsensei,MaruMori,Neocities",3
n2_206,N2,お願う,お○○願う | お～願う | お～願う（お～ねがう）,please do; could you please~,"JLPTsensei,MaruMori,Neocities",3
n2_207,N2,かえって,かえって,on the contrary; rather; all the more,"JLPTsensei,MaruMori,Neocities",3
n2_208,N2,かと思ったら,〜かと思ったら・思うと | かと思ったら | かと思ったら / かと思うと,just when; no sooner than,"JLPTsensei,MaruMori,Neocities",3
n2_209,N2,からして,〜からして | からして,judging from; based on; since; from,"JLPTsensei,MaruMori,Neocities",3
n2_210,N2,からと言って（から,〜からと言って（から… | からと言って,just because; even if; even though~,"JLPTsensei,MaruMori",2
n2_211,N2,から言うと,から言うと,in terms of; from the point of view of,"JLPTsensei,Neocities",2
n2_212,N2,か何か,〜か何か（かなにか） | か何か,or something,"MaruMori,Neocities",2
n2_213,N2,がきっかけで,がきっかけで | ～がきっかけで,as a result of; taking advantage of,"JLPTsensei,MaruMori",2
n2_214,N2,くせして,くせして,although~; despite the fact that~,"JLPTsensei,MaruMori",2
n2_215,N2,ことから,ことか | ことから,from the fact that,"JLPTsensei,Neocities",2
n2_216,N2,ことなく,〜ことなく | ことなく,without doing something even once,"JLPTsensei,MaruMori,Neocities",3
n2_217,N2,ことにはならない,ことにはならない | ～ことにはならない,just because… doesn’t mean~,"JLPTsensei,MaruMori,Neocities",3
n2_218,N2,しかも,しかも,moreover; furthermore; what’s more~,"JLPTsensei,MaruMori,Neocities",3
n2_219,N2,ずに済む,ずに済む,get by without doing~,"JLPTsensei,Neocities",2
n2_220,N2,せいか,せいか,perhaps because~,"JLPTsensei,MaruMori",2
n2_221,N2,せいぜい,せいぜい | せいぜい～,at the most; at best,"MaruMori,Neocities",2
n2_222,N2,せめて,せめて,at least; at most~,"JLPTsensei,MaruMori,Neocities",3
n2_223,N2,そうすると,そうすると,having done that; if that is done,"JLPTsensei,MaruMori,Neocities",3
n2_224,N2,そう言えば（そういえ,そう言えば | そう言えば（そういえ…,come to think of it~,"JLPTsensei,MaruMori",2
n2_225,N2,その上,その上 | その上・上に～,besides; in addition; furthermore~,"JLPTsensei,MaruMori,Neocities",3
n2_226,N2,それとも,それとも | それとも～,or; or else,"MaruMori,Neocities",2
n2_227,N2,それなのに,それなのに,and yet; despite this; but even so~,"JLPTsensei,MaruMori,Neocities",3
n2_228,N2,それなら,それなら,if that’s the case; if so~,"JLPTsensei,MaruMori,Neocities",3
n2_229,N2,たまえ,たまえ,do~; order somebody to do something,"JLPTsensei,MaruMori,Neocities",3
n2_230,N2,だけあって,だけあって | だけあって… | だけあって・だけのこ…,being the case; precisely because,"JLPTsensei,MaruMori,Neocities",3
n2_231,N2,だけに,〜だけに | だけに | だけに…,being the case; precisely because,"JLPTsensei,MaruMori,Neocities",3
n2_232,N2,だけのことはある,だけのことはある,as expected of; not for nothing,"JLPTsensei,MaruMori,Neocities",3
n2_233,N2,だけは,だけは,to do all that one can,"JLPTsensei,MaruMori,Neocities",3
n2_234,N2,だけましだ,だけまし | だけましだ,it’s better than; should feel grateful for,"JLPTsensei,MaruMori,Neocities",3
n2_235,N2,ちっともない,ちっとも○○ない | ちっとも～ない,(not) at all; (not) in the least,"JLPTsensei,MaruMori,Neocities",3
n2_236,N2,ちなみに,ちなみに,by the way; incidentally,"JLPTsensei,MaruMori",2
n2_237,N2,っこない,っこない,no chance of; definitely not possible,"JLPTsensei,MaruMori,Neocities",3
n2_238,N2,つつある,〜つつある | つつある,to be doing; in the process of doing~,"JLPTsensei,MaruMori,Neocities",3
n2_239,N2,ていては,〜ていては | ていては,if one keeps doing~,"JLPTsensei,MaruMori,Neocities",3
n2_240,N2,てしょうがない,〜てしょうがない・〜… | てしょうがない,very; extremely,"MaruMori,Neocities",2
n2_241,N2,てでも,〜てでも | てでも,even if I have to; by all means~,"JLPTsensei,MaruMori,Neocities",3
n2_242,N2,ては,ては | ては / では,whenever; if; when~; repetitive action,"JLPTsensei,Neocities",2
n2_243,N2,てはいられない,てはいられない,can’t afford to; unable to~,"JLPTsensei,MaruMori,Neocities",3
n2_244,N2,てはては,ては～ては,repetitive situations/actions,"JLPTsensei,MaruMori",2
n2_245,N2,てはならない,てはならない,must not; cannot; should not~,"JLPTsensei,MaruMori,Neocities",3
n2_246,N2,てばかりはいられない,てばかりはいられない | ばかり | ばかり 2 | ～ばかりは,can’t keep doing~,"JLPTsensei,MaruMori,Neocities",3
n2_247,N2,てまで,〜てまで・〜までして… | てまで,even; will go far so as to~,"JLPTsensei,MaruMori",2
n2_248,N2,て以来,て以来,since; henceforth~,"JLPTsensei,Neocities",2
n2_249,N2,て当然だ（てとうぜん,て当然だ | て当然だ（てとうぜん…,natural; as a matter of course,"JLPTsensei,MaruMori,Neocities",3
n2_250,N2,といった,といった | ～といった,like; such as~,"JLPTsensei,MaruMori,Neocities",3
n2_251,N2,ところだった,ところだった,was just about to do something,"JLPTsensei,Neocities",2
n2_252,N2,ところに,ところに | ところに / ところへ | ～ところに・ところへ…,at the time; just as I was~,"JLPTsensei,MaruMori,Neocities",3
n2_253,N2,ところを見ると（とこ,ところを見ると | ところを見ると（とこ…,judging from; seeing that~,"JLPTsensei,MaruMori,Neocities",3
n2_254,N2,とっくに,とっくに,long ago; already; a long time ago,"JLPTsensei,MaruMori,Neocities",3
n2_255,N2,とも,とも,even if; no matter; though~,"JLPTsensei,MaruMori,Neocities",3
n2_256,N2,と同時に,と同時に,at the same time as; while,"JLPTsensei,Neocities",2
n2_257,N2,どうせ,どうせ,anyhow; in any case; at any rate,"JLPTsensei,MaruMori,Neocities",3
n2_258,N2,どうやら,どうやら,apparently; seems like; somehow,"JLPTsensei,MaruMori,Neocities",3
n2_259,N2,どころではない,〜どころではない① | 〜どころではない② | どころではない,not the time for; far from,"JLPTsensei,MaruMori,Neocities",3
n2_260,N2,ないものか,〜ないもの（だろう）か | ものか | ものか / もんか | ～ものか,as if; there's no way~,"JLPTsensei,MaruMori,Neocities",3
n2_261,N2,なお,なお | なお～,still; yet; furthermore; in addition~,"JLPTsensei,MaruMori,Neocities",3
n2_262,N2,なくて済む（なくてす,なくて済む | なくて済む（なくてす…,get by without doing~,"JLPTsensei,MaruMori",2
